category,category,category,source,name,ticker,Q_DATABASE_CODE,Q_DATASET_CODE,Q_COLUMN_NUM,Q_COLUMN_NAME,Q_COLLAPSE_INSTR,Q_TRANSFORM_INSTR,Q_REFRESHED_AT,Q_EARLIEST_DATE,Q_LATEST_DATE,natural_periodicity,natural_value_type,Q_DESCRIPTION,UNITS,SEASONALLY ADJUSTED
,,,Federal Reserve Bank Cleveland (Financial Stress Index),Securitization Market,Sec_Mkts,FRBC,CFSI_COMP,19,,monthly,,,,,,,,,
,,,Federal Reserve Bank Cleveland (Financial Stress Index),Stock Market Crashes,Eqty_Mkt_Crashes,FRBC,CFSI_COMP,20,,monthly,,,,,,,,,
,,,Federal Reserve Bank Cleveland (Financial Stress Index),Treasury Yield Curve Spread,T-Yield_Curve_Spread,FRBC,CFSI_COMP,21,,monthly,,,,,,,,,
,,,Federal Reserve Bank Cleveland (Financial Stress Index),Weighted Dollar Crashes,Wghtd_Dollar_Crashes,FRBC,CFSI_COMP,22,,monthly,,,,,,,,,
,,,Federal Reserve Bank Cleveland (Financial Stress Index),Financial Stress Index,ClvlndFed_Stress_Idx,FRBC,CFSI_COMP,23,,monthly,,,,,,,,,
interest rate,rate,interbank,FRED,Effective Federal Funds Rate,Eff_FedFunds_Rate,FRED,DFF,1,,,,,,,,,,percent,no
interest rate,rate,interbank,FRED,6-Month LIBOR USD,LIBOR_6mo_USD_Rate,FRED,USD6MTD156N,1,,,,,,,,,,percent,no
interest rate,rate,interbank,FRED,1-Month LIBOR USD,LIBOR_1mo_USD_Rate,FRED,USD1MTD156N,1,,,,,,,,,,percent,no
interest rate,rate,interbank,FRED,3-Month LIBOR USD,LIBOR_3mo_USD_Rate,FRED,USD3MTD156N,1,,,,,,,,,,percent,no
interest rate,rate,interbank,FRED,1-Year LIBOR USD,LIBOR_1yr_USD_Rate,FRED,USD12MD156N,1,,,,,,,,,,percent,no
interest rate,rate,interbank,FRED,3-Month LIBOR USD,LIBOR_3mo_USD_Rate,FRED,INTGSTUSM193N,1,,,,,,,,,,percent,no
demographics,,,The World Bank,Under-15 Population,Pop_0to14,WORLDBANK,USA_SP_POP_0014_TO_ZS,,,,,,,,,,,,
demographics,,,The World Bank,15-to-65 Population,Pop_15to65,WORLDBANK,USA_SP_POP_1564_TO_ZS,,,,,,,,,,,,
demographics,,,The World Bank,Over-65 Population,Pop_65plus,WORLDBANK,USA_SP_POP_65UP_TO_ZS,,,,,,,,,,,,
employment,,,FRED,Non-Farm Payrolls,Payrolls_Nonfarm_Count,FRED,PAYEMS,,,,,,,,,,,,
employment,,,FRED,Unemployment Rate,Unemployment_Rate,FRED,UNRATE,,,,,,,,,,,,
,,,FRED,Real personal consumption expenditures,Personal_Cons,FRED,DPCERX1A020NBEA,,,,,,,,,,,,
,,,FRED,Initial Claims,Unemployment_Claims,FRED,ICSA,,,,,,,,,,,,
,,,FRED,Index of All Common Stock Prices for United States,Common_Stock_Prices,FRED,M1125BUSM347NNBR,,,,,,,,,,,,
,,,FRED,Total Debt to Equity for United States,US_Stock_Debt_Equity_Ratio,FRED,TOTDTEUSQ163N,,,,,,,,,,,,
,,,FRED,Return on Average Equity for all U S Banks,US_Bank_ReturnOnEquity_Ratio,FRED,USROE,,,,,,,,,,,,
